Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1751899363,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751899364,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751899365,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751899366,3,,Aggregated,0.000000,0.000000,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,1,0,2175,2175.0,2175,2175,17.0
1751899367,4,,Aggregated,0.000000,0.000000,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,1,0,2175,2175.0,2175,2175,17.0
1751899368,5,,Aggregated,0.000000,0.000000,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,2,0,2200,2682.0,2175,3189,16.5
1751899369,6,,Aggregated,0.000000,0.000000,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,2,0,2200,2682.0,2175,3189,16.5
1751899370,7,,Aggregated,0.250000,0.000000,3200,3200,4200,4200,4200,4200,4200,4200,4200,4200,4200,3,0,3200,3193.3333333333335,2175,4216,16.666666666666668
1751899371,8,,Aggregated,0.250000,0.000000,3200,3200,4200,4200,4200,4200,4200,4200,4200,4200,4200,3,0,3200,3193.3333333333335,2175,4216,16.666666666666668
1751899372,9,,Aggregated,0.333333,0.000000,4200,4200,6000,6000,6000,6000,6000,6000,6000,6000,6000,4,0,3200,3901.5,2175,6026,16.5
1751899373,10,,Aggregated,0.333333,0.000000,4200,4200,6000,6000,6000,6000,6000,6000,6000,6000,6000,4,0,3200,3901.5,2175,6026,16.5
1751899374,11,,Aggregated,0.375000,0.000000,4200,6000,6000,7200,7200,7200,7200,7200,7200,7200,7200,5,0,4200,4567.8,2175,7233,16.6
1751899375,12,,Aggregated,0.375000,0.000000,4200,6000,6000,7200,7200,7200,7200,7200,7200,7200,7200,5,0,4200,4567.8,2175,7233,16.6
1751899376,13,,Aggregated,0.400000,0.000000,6000,6000,7200,7200,8200,8200,8200,8200,8200,8200,8200,6,0,4200,5179.666666666667,2175,8239,16.666666666666668
1751899377,14,,Aggregated,0.400000,0.000000,6000,6000,7200,7200,8200,8200,8200,8200,8200,8200,8200,6,0,4200,5179.666666666667,2175,8239,16.666666666666668
1751899378,15,,Aggregated,0.500000,0.000000,6000,7200,8200,8200,10000,10000,10000,10000,10000,10000,10000,7,0,6000,5874.428571428572,2175,10043,16.714285714285715
1751899379,16,,Aggregated,0.500000,0.000000,6000,7200,8200,8200,10000,10000,10000,10000,10000,10000,10000,7,0,6000,5874.428571428572,2175,10043,16.714285714285715
1751899380,17,,Aggregated,0.500000,0.000000,7200,8200,10000,10000,11000,11000,11000,11000,11000,11000,11000,8,0,6000,6547.375,2175,11258,16.75
1751899381,18,,Aggregated,0.500000,0.000000,7200,8200,10000,10000,11000,11000,11000,11000,11000,11000,11000,8,0,6000,6547.375,2175,11258,16.75
