Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1751899455,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751899456,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751899457,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751899458,3,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751899459,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751899460,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751899461,6,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751899462,7,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751899463,8,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751899464,9,,Aggregated,0.000000,0.000000,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,1,0,8703,8703.0,8703,8703,17.0
1751899465,10,,Aggregated,0.000000,0.000000,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,1,0,8703,8703.0,8703,8703,17.0
1751899466,11,,Aggregated,0.000000,0.000000,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,2,0,8703,9219.0,8703,9735,17.0
1751899467,12,,Aggregated,0.000000,0.000000,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,2,0,8703,9219.0,8703,9735,17.0
1751899468,13,,Aggregated,0.100000,0.000000,9800,9800,11000,11000,11000,11000,11000,11000,11000,11000,11000,4,0,9700,9754.5,8703,10738,17.0
1751899469,14,,Aggregated,0.100000,0.000000,9800,9800,11000,11000,11000,11000,11000,11000,11000,11000,11000,4,0,9700,9754.5,8703,10738,17.0
1751899470,15,,Aggregated,0.200000,0.000000,9900,9900,11000,11000,11000,11000,11000,11000,11000,11000,11000,6,0,9800,9937.0,8703,10749,16.833333333333332
1751899471,16,,Aggregated,0.200000,0.000000,9900,9900,11000,11000,11000,11000,11000,11000,11000,11000,11000,6,0,9800,9937.0,8703,10749,16.833333333333332
1751899472,17,,Aggregated,0.400000,0.000000,9900,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,8,0,9900,10030.875,8703,10757,16.875
1751899473,18,,Aggregated,0.400000,0.000000,9900,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,8,0,9900,10030.875,8703,10757,16.875
1751899474,19,,Aggregated,0.600000,0.000000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,10,0,9900,10117.2,8703,10767,16.9
1751899475,20,,Aggregated,0.600000,0.000000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11,0,10000,10122.727272727272,8703,10767,16.90909090909091
1751899476,20,,Aggregated,0.800000,0.000000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,13,0,10000,10176.0,8703,10774,16.76923076923077
1751899477,20,,Aggregated,0.800000,0.000000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,14,0,10000,10176.785714285714,8703,10774,16.785714285714285
1751899478,20,,Aggregated,1.000000,0.000000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,16,0,10000,10214.0625,8703,10782,16.8125
